0.601351351351 - [512, 'merriss-s.txt']
0.605442176871 - [594, 'linder-e.txt']
0.609589041096 - [676, 'phanis-s.txt']
0.613793103448 - [1290, 'king-j.txt']
0.611111111111 - [2028, 'townsend-j.txt']
0.615384615385 - [2416, 'ermis-f.txt']
0.619718309859 - [2749, 'motley-m.txt']
0.617021276596 - [3290, 'meyers-a.txt']
0.621428571429 - [3307, 'gilbertsmith-d.txt']
0.625899280576 - [4079, 'south-s.txt']
0.623188405797 - [4262, 'benson-r.txt']
0.620437956204 - [4584, 'maggi-m.txt']
0.617647058824 - [5776, 'shapiro-r.txt']
0.622222222222 - [6823, 'williams-j.txt']
0.626865671642 - [6863, 'badeer-r.txt']
0.631578947368 - [6863, 'bailey-s.txt']
0.628787878788 - [7786, 'saibi-e.txt']
0.63358778626 - [8348, 'panus-s.txt']
0.638461538462 - [8491, 'dean-c.txt']
0.643410852713 - [9536, 'reitmeyer-j.txt']
0.6484375 - [10386, 'griffith-j.txt']
0.653543307087 - [11354, 'gang-l.txt']
0.650793650794 - [11435, 'solberg-g.txt']
0.648 - [11734, 'may-l.txt']
0.653225806452 - [11855, 'slinger-r.txt']
0.658536585366 - [12005, 'arora-h.txt']
0.66393442623 - [13070, 'mckay-b.txt']
0.661157024793 - [13658, 'pimenov-v.txt']
0.666666666667 - [13935, 'stepenovitch-j.txt']
0.663865546218 - [14645, 'swerzbin-m.txt']
0.669491525424 - [14767, 'donohoe-t.txt']
0.675213675214 - [15597, 'holst-k.txt']
0.681034482759 - [15886, 'quenet-j.txt']
0.678260869565 - [16746, 'lokey-t.txt']
0.675438596491 - [18036, 'hodge-j.txt']
0.672566371681 - [18097, 'salisbury-h.txt']
0.669642857143 - [18119, 'staab-t.txt']
0.666666666667 - [18358, 'storey-g.txt']
0.672727272727 - [18963, 'wolfe-j.txt']
0.688073394495 - [19515, 'scholtes-d.txt']
0.694444444444 - [19685, 'ring-r.txt']
0.700934579439 - [20168, 'whalley-g.txt']
0.698113207547 - [20360, 'lewis-a.txt']
0.704761904762 - [20980, 'platter-p.txt']
0.711538461538 - [22467, 'keavey-p.txt']
0.708737864078 - [22889, 'fischer-m.txt']
0.705882352941 - [24553, 'rapp-b.txt']
0.70297029703 - [26749, 'baughman-d.txt']
0.7 - [26833, 'sanchez-m.txt']
0.69696969697 - [28752, 'dickson-s.txt']
0.704081632653 - [31738, 'ybarbo-p.txt']
0.701030927835 - [32396, 'hendrickson-s.txt']
0.708333333333 - [32425, 'whitt-m.txt']
0.705263157895 - [32503, 'mccarty-d.txt']
0.712765957447 - [33992, 'ring-a.txt']
0.709677419355 - [37612, 'schwieger-j.txt']
0.70652173913 - [39292, 'lucci-p.txt']
0.714285714286 - [39639, 'zufferli-j.txt']
0.711111111111 - [43750, 'carson-m.txt']
0.719101123596 - [44533, 'geaccone-t.txt']
0.715909090909 - [45968, 'parks-j.txt']
0.712643678161 - [49173, 'semperger-c.txt']
0.720930232558 - [50276, 'thomas-p.txt']
0.729411764706 - [51659, 'shively-h.txt']
0.738095238095 - [53230, 'zipper-a.txt']
0.734939759036 - [54135, 'schoolcraft-d.txt']
0.731707317073 - [54213, 'derrick-j.txt']
