0.77027027027 - [269, 'merriss-s.txt']
0.775510204082 - [313, 'linder-e.txt']
0.780821917808 - [356, 'phanis-s.txt']
0.786206896552 - [679, 'king-j.txt']
0.791666666667 - [1067, 'townsend-j.txt']
0.79020979021 - [1272, 'ermis-f.txt']
0.795774647887 - [1447, 'motley-m.txt']
0.801418439716 - [1732, 'meyers-a.txt']
0.807142857143 - [1741, 'gilbertsmith-d.txt']
0.812949640288 - [2147, 'south-s.txt']
0.811594202899 - [2243, 'benson-r.txt']
0.810218978102 - [2413, 'maggi-m.txt']
0.808823529412 - [3040, 'shapiro-r.txt']
0.814814814815 - [3591, 'williams-j.txt']
0.820895522388 - [3612, 'badeer-r.txt']
0.81954887218 - [3612, 'bailey-s.txt']
0.825757575758 - [4098, 'saibi-e.txt']
0.824427480916 - [4394, 'panus-s.txt']
0.823076923077 - [4469, 'dean-c.txt']
0.821705426357 - [5019, 'reitmeyer-j.txt']
0.8203125 - [5466, 'griffith-j.txt']
0.826771653543 - [5976, 'gang-l.txt']
0.825396825397 - [6018, 'solberg-g.txt']
0.824 - [6176, 'may-l.txt']
0.822580645161 - [6239, 'slinger-r.txt']
0.821138211382 - [6318, 'arora-h.txt']
0.827868852459 - [6879, 'mckay-b.txt']
0.826446280992 - [7188, 'pimenov-v.txt']
0.825 - [7334, 'stepenovitch-j.txt']
0.831932773109 - [7708, 'swerzbin-m.txt']
0.830508474576 - [7772, 'donohoe-t.txt']
0.82905982906 - [8209, 'holst-k.txt']
0.836206896552 - [8361, 'quenet-j.txt']
0.834782608696 - [8814, 'lokey-t.txt']
0.842105263158 - [9493, 'hodge-j.txt']
0.849557522124 - [9525, 'salisbury-h.txt']
0.857142857143 - [9536, 'staab-t.txt']
0.855855855856 - [9662, 'storey-g.txt']
0.863636363636 - [9981, 'wolfe-j.txt']
0.862385321101 - [10271, 'scholtes-d.txt']
0.861111111111 - [10361, 'ring-r.txt']
0.859813084112 - [10615, 'whalley-g.txt']
0.858490566038 - [10716, 'lewis-a.txt']
0.857142857143 - [11042, 'platter-p.txt']
0.865384615385 - [11825, 'keavey-p.txt']
0.864077669903 - [12047, 'fischer-m.txt']
0.862745098039 - [12923, 'rapp-b.txt']
0.871287128713 - [14078, 'baughman-d.txt']
0.88 - [14123, 'sanchez-m.txt']
0.888888888889 - [15133, 'dickson-s.txt']
0.897959183673 - [16704, 'ybarbo-p.txt']
0.896907216495 - [17051, 'hendrickson-s.txt']
0.895833333333 - [17066, 'whitt-m.txt']
0.905263157895 - [17107, 'mccarty-d.txt']
0.904255319149 - [17891, 'ring-a.txt']
0.903225806452 - [19796, 'schwieger-j.txt']
0.902173913043 - [20680, 'lucci-p.txt']
0.912087912088 - [20863, 'zufferli-j.txt']
0.911111111111 - [23026, 'carson-m.txt']
0.910112359551 - [23438, 'geaccone-t.txt']
0.909090909091 - [24194, 'parks-j.txt']
0.919540229885 - [25881, 'semperger-c.txt']
