0.5 - [512, 'merriss-s.txt']
0.503448275862 - [594, 'linder-e.txt']
0.506944444444 - [676, 'phanis-s.txt']
0.51048951049 - [1290, 'king-j.txt']
0.514084507042 - [2028, 'townsend-j.txt']
0.517730496454 - [2416, 'ermis-f.txt']
0.521428571429 - [2749, 'motley-m.txt']
0.525179856115 - [3290, 'meyers-a.txt']
0.521739130435 - [3307, 'gilbertsmith-d.txt']
0.525547445255 - [4079, 'south-s.txt']
0.522058823529 - [4262, 'benson-r.txt']
0.518518518519 - [4584, 'maggi-m.txt']
0.522388059701 - [5776, 'shapiro-r.txt']
0.526315789474 - [6823, 'williams-j.txt']
0.530303030303 - [6863, 'badeer-r.txt']
0.534351145038 - [6863, 'bailey-s.txt']
0.538461538462 - [7786, 'saibi-e.txt']
0.53488372093 - [8348, 'panus-s.txt']
0.53125 - [8491, 'dean-c.txt']
0.535433070866 - [9536, 'reitmeyer-j.txt']
0.539682539683 - [10386, 'griffith-j.txt']
0.544 - [11354, 'gang-l.txt']
0.548387096774 - [11435, 'solberg-g.txt']
0.552845528455 - [11734, 'may-l.txt']
0.55737704918 - [11855, 'slinger-r.txt']
0.561983471074 - [12005, 'arora-h.txt']
0.558333333333 - [13070, 'mckay-b.txt']
0.554621848739 - [13658, 'pimenov-v.txt']
0.559322033898 - [13935, 'stepenovitch-j.txt']
0.555555555556 - [14645, 'swerzbin-m.txt']
0.560344827586 - [14767, 'donohoe-t.txt']
0.55652173913 - [15597, 'holst-k.txt']
0.561403508772 - [15886, 'quenet-j.txt']
0.557522123894 - [16746, 'lokey-t.txt']
0.5625 - [18036, 'hodge-j.txt']
0.558558558559 - [18097, 'salisbury-h.txt']
0.563636363636 - [18119, 'staab-t.txt']
0.56880733945 - [18358, 'storey-g.txt']
0.574074074074 - [18963, 'wolfe-j.txt']
0.579439252336 - [19515, 'scholtes-d.txt']
0.584905660377 - [19685, 'ring-r.txt']
0.590476190476 - [20168, 'whalley-g.txt']
0.596153846154 - [20360, 'lewis-a.txt']
0.601941747573 - [20980, 'platter-p.txt']
0.598039215686 - [22467, 'keavey-p.txt']
