0.551020408163 - [485, 'merriss-s.txt']
0.554794520548 - [563, 'linder-e.txt']
0.558620689655 - [640, 'phanis-s.txt']
0.5625 - [1222, 'king-j.txt']
0.566433566434 - [1921, 'townsend-j.txt']
0.570422535211 - [2289, 'ermis-f.txt']
0.567375886525 - [2604, 'motley-m.txt']
0.571428571429 - [3117, 'meyers-a.txt']
0.575539568345 - [3133, 'gilbertsmith-d.txt']
0.579710144928 - [3864, 'south-s.txt']
0.583941605839 - [4038, 'benson-r.txt']
0.580882352941 - [4343, 'maggi-m.txt']
0.585185185185 - [5472, 'shapiro-r.txt']
0.589552238806 - [6464, 'williams-j.txt']
0.593984962406 - [6502, 'badeer-r.txt']
0.598484848485 - [6502, 'bailey-s.txt']
0.603053435115 - [7376, 'saibi-e.txt']
0.6 - [7909, 'panus-s.txt']
0.596899224806 - [8044, 'dean-c.txt']
0.6015625 - [9034, 'reitmeyer-j.txt']
0.606299212598 - [9839, 'griffith-j.txt']
0.603174603175 - [10756, 'gang-l.txt']
0.608 - [10833, 'solberg-g.txt']
0.604838709677 - [11116, 'may-l.txt']
0.609756097561 - [11231, 'slinger-r.txt']
0.614754098361 - [11373, 'arora-h.txt']
0.611570247934 - [12382, 'mckay-b.txt']
0.616666666667 - [12939, 'pimenov-v.txt']
0.613445378151 - [13202, 'stepenovitch-j.txt']
0.618644067797 - [13874, 'swerzbin-m.txt']
0.623931623932 - [13990, 'donohoe-t.txt']
0.629310344828 - [14776, 'holst-k.txt']
0.626086956522 - [15050, 'quenet-j.txt']
0.631578947368 - [15865, 'lokey-t.txt']
0.637168141593 - [17087, 'hodge-j.txt']
0.642857142857 - [17145, 'salisbury-h.txt']
0.648648648649 - [17165, 'staab-t.txt']
0.654545454545 - [17392, 'storey-g.txt']
0.660550458716 - [17965, 'wolfe-j.txt']
0.666666666667 - [18488, 'scholtes-d.txt']
0.672897196262 - [18649, 'ring-r.txt']
0.679245283019 - [19107, 'whalley-g.txt']
0.67619047619 - [19288, 'lewis-a.txt']
0.682692307692 - [19876, 'platter-p.txt']
0.679611650485 - [21285, 'keavey-p.txt']
0.676470588235 - [21684, 'fischer-m.txt']
0.683168316832 - [23261, 'rapp-b.txt']
0.68 - [25341, 'baughman-d.txt']
0.686868686869 - [25421, 'sanchez-m.txt']
0.69387755102 - [27239, 'dickson-s.txt']
0.701030927835 - [30068, 'ybarbo-p.txt']
