0.675675675676 - [485, 'merriss-s.txt']
0.673469387755 - [563, 'linder-e.txt']
0.678082191781 - [640, 'phanis-s.txt']
0.68275862069 - [1222, 'king-j.txt']
0.680555555556 - [1921, 'townsend-j.txt']
0.678321678322 - [2289, 'ermis-f.txt']
0.683098591549 - [2604, 'motley-m.txt']
0.68085106383 - [3117, 'meyers-a.txt']
0.685714285714 - [3133, 'gilbertsmith-d.txt']
0.690647482014 - [3864, 'south-s.txt']
0.688405797101 - [4038, 'benson-r.txt']
0.693430656934 - [4343, 'maggi-m.txt']
0.691176470588 - [5472, 'shapiro-r.txt']
0.696296296296 - [6464, 'williams-j.txt']
0.701492537313 - [6502, 'badeer-r.txt']
0.706766917293 - [6502, 'bailey-s.txt']
0.704545454545 - [7376, 'saibi-e.txt']
0.702290076336 - [7909, 'panus-s.txt']
0.7 - [8044, 'dean-c.txt']
0.705426356589 - [9034, 'reitmeyer-j.txt']
0.703125 - [9839, 'griffith-j.txt']
0.708661417323 - [10756, 'gang-l.txt']
0.706349206349 - [10833, 'solberg-g.txt']
0.704 - [11116, 'may-l.txt']
0.709677419355 - [11231, 'slinger-r.txt']
0.715447154472 - [11373, 'arora-h.txt']
0.72131147541 - [12382, 'mckay-b.txt']
0.719008264463 - [12939, 'pimenov-v.txt']
0.725 - [13202, 'stepenovitch-j.txt']
0.72268907563 - [13874, 'swerzbin-m.txt']
0.728813559322 - [13990, 'donohoe-t.txt']
0.735042735043 - [14776, 'holst-k.txt']
0.741379310345 - [15050, 'quenet-j.txt']
0.739130434783 - [15865, 'lokey-t.txt']
0.736842105263 - [17087, 'hodge-j.txt']
0.743362831858 - [17145, 'salisbury-h.txt']
0.741071428571 - [17165, 'staab-t.txt']
0.738738738739 - [17392, 'storey-g.txt']
0.745454545455 - [17965, 'wolfe-j.txt']
0.743119266055 - [18488, 'scholtes-d.txt']
0.75 - [18649, 'ring-r.txt']
0.747663551402 - [19107, 'whalley-g.txt']
0.745283018868 - [19288, 'lewis-a.txt']
0.752380952381 - [19876, 'platter-p.txt']
