0.608108108108 - [512, 'merriss-s.txt']
0.612244897959 - [594, 'linder-e.txt']
0.616438356164 - [676, 'phanis-s.txt']
0.620689655172 - [1290, 'king-j.txt']
0.618055555556 - [2028, 'townsend-j.txt']
0.622377622378 - [2416, 'ermis-f.txt']
0.62676056338 - [2749, 'motley-m.txt']
0.624113475177 - [3290, 'meyers-a.txt']
0.628571428571 - [3307, 'gilbertsmith-d.txt']
0.63309352518 - [4079, 'south-s.txt']
0.630434782609 - [4262, 'benson-r.txt']
0.627737226277 - [4584, 'maggi-m.txt']
0.625 - [5776, 'shapiro-r.txt']
0.62962962963 - [6823, 'williams-j.txt']
0.634328358209 - [6863, 'badeer-r.txt']
0.639097744361 - [6863, 'bailey-s.txt']
0.636363636364 - [7786, 'saibi-e.txt']
0.641221374046 - [8348, 'panus-s.txt']
0.646153846154 - [8491, 'dean-c.txt']
0.643410852713 - [9536, 'reitmeyer-j.txt']
0.6484375 - [10386, 'griffith-j.txt']
0.661417322835 - [11354, 'gang-l.txt']
0.65873015873 - [11435, 'solberg-g.txt']
0.656 - [11734, 'may-l.txt']
0.66935483871 - [11855, 'slinger-r.txt']
0.674796747967 - [12005, 'arora-h.txt']
0.680327868852 - [13070, 'mckay-b.txt']
0.677685950413 - [13658, 'pimenov-v.txt']
0.683333333333 - [13935, 'stepenovitch-j.txt']
0.680672268908 - [14645, 'swerzbin-m.txt']
0.686440677966 - [14767, 'donohoe-t.txt']
0.692307692308 - [15597, 'holst-k.txt']
0.698275862069 - [15886, 'quenet-j.txt']
0.695652173913 - [16746, 'lokey-t.txt']
0.69298245614 - [18036, 'hodge-j.txt']
0.690265486726 - [18097, 'salisbury-h.txt']
0.696428571429 - [18119, 'staab-t.txt']
0.693693693694 - [18358, 'storey-g.txt']
0.7 - [18963, 'wolfe-j.txt']
0.706422018349 - [19515, 'scholtes-d.txt']
0.712962962963 - [19685, 'ring-r.txt']
0.719626168224 - [20168, 'whalley-g.txt']
0.716981132075 - [20360, 'lewis-a.txt']
0.714285714286 - [20980, 'platter-p.txt']
0.721153846154 - [22467, 'keavey-p.txt']
0.718446601942 - [22889, 'fischer-m.txt']
0.71568627451 - [24553, 'rapp-b.txt']
0.712871287129 - [26749, 'baughman-d.txt']
0.71 - [26833, 'sanchez-m.txt']
0.707070707071 - [28752, 'dickson-s.txt']
0.714285714286 - [31738, 'ybarbo-p.txt']
0.711340206186 - [32396, 'hendrickson-s.txt']
0.71875 - [32425, 'whitt-m.txt']
0.715789473684 - [32503, 'mccarty-d.txt']
0.723404255319 - [33992, 'ring-a.txt']
0.720430107527 - [37612, 'schwieger-j.txt']
0.728260869565 - [39292, 'lucci-p.txt']
0.747252747253 - [39639, 'zufferli-j.txt']
0.744444444444 - [43750, 'carson-m.txt']
